# Time-averaged data for fix OUT
# TimeStep v_vT v_rho v_ent
0 298.561 7.29651 -4.95616
1000 309.38 7.29462 -4.95354
2000 319.312 7.29496 -4.94583
3000 328.712 7.29111 -4.94541
4000 339.043 7.28622 -4.94701
5000 348.91 7.28357 -4.94553
6000 359.477 7.28121 -4.94404
7000 368.905 7.27918 -4.94022
8000 378.107 7.27718 -4.93705
9000 389.017 7.2769 -4.93129
10000 399.147 7.27496 -4.92726
11000 410.367 7.27212 -4.92557
12000 419.459 7.27071 -4.92228
13000 427.688 7.27117 -4.91449
14000 439.171 7.26432 -4.9187
15000 450.269 7.26429 -4.91319
16000 458.662 7.25972 -4.91356
17000 468.931 7.25895 -4.90817
18000 479.724 7.25913 -4.90083
19000 489.913 7.2548 -4.90215
20000 499.408 7.25221 -4.9004
21000 510.191 7.24696 -4.90094
22000 518.07 7.24805 -4.89272
23000 529.625 7.24617 -4.88931
24000 537.421 7.24384 -4.88666
25000 549.322 7.23856 -4.88982
26000 558.945 7.2342 -4.8901
27000 569.157 7.23216 -4.88783
28000 576.913 7.23134 -4.88095
29000 589.084 7.22767 -4.88099
30000 598.917 7.22654 -4.87518
31000 607.816 7.22548 -4.87091
32000 618.316 7.22168 -4.87077
33000 626.126 7.21884 -4.86831
34000 640.203 7.21408 -4.8699
35000 650.221 7.21362 -4.864
36000 663.075 7.20754 -4.86736
37000 673.931 7.20881 -4.8587
38000 681.026 7.20445 -4.85883
39000 688.165 7.20485 -4.85305
40000 705.909 7.20086 -4.84961
41000 698.805 7.20312 -4.84697
42000 704.075 7.19643 -4.85738
43000 701.434 7.1993 -4.85248
44000 696.45 7.20043 -4.85406
45000 700.133 7.19992 -4.85207
46000 702.7 7.20116 -4.84859
47000 696.937 7.20055 -4.85143
48000 698.791 7.20424 -4.8457
49000 700.613 7.20459 -4.84307
50000 698.886 7.20269 -4.84746
51000 700.132 7.20097 -4.84972
52000 700.378 7.20219 -4.84913
53000 699.132 7.20597 -4.84322
54000 702.725 7.2026 -4.84475
55000 699.5 7.20427 -4.84287
56000 699.765 7.20593 -4.84137
57000 699.139 7.20358 -4.84341
58000 696.45 7.20214 -4.8494
59000 702.061 7.20245 -4.84838
60000 698.694 7.20336 -4.84753
61000 700.336 7.20027 -4.84984
62000 697.28 7.2033 -4.84635
63000 700.793 7.20411 -4.84508
64000 700.2 7.20262 -4.8459
65000 701.038 7.2061 -4.84062
66000 696.899 7.20489 -4.84376
67000 698.07 7.20618 -4.84051
68000 703.429 7.20544 -4.8422
69000 696.435 7.20317 -4.84711
70000 701.128 7.20236 -4.84847
71000 701.525 7.20153 -4.84917
72000 698.33 7.20088 -4.85079
73000 702.685 7.20227 -4.84841
74000 699.544 7.20356 -4.84587
75000 701.514 7.20488 -4.84327
76000 702.788 7.20076 -4.85084
77000 697.813 7.20277 -4.84804
78000 701.41 7.20272 -4.84929
79000 699.652 7.19835 -4.85345
80000 695.047 7.20174 -4.85036
81000 702.017 7.20299 -4.84713
82000 700.157 7.20134 -4.84886
83000 698.492 7.20357 -4.8459
84000 703.112 7.20407 -4.84436
85000 700.846 7.20358 -4.84627
86000 699.169 7.20004 -4.85558
87000 696.908 7.19861 -4.85422
88000 699.837 7.20254 -4.84866
89000 699.465 7.2035 -4.8473
90000 699.833 7.20167 -4.84826
91000 697.315 7.20128 -4.85346
92000 697.701 7.19842 -4.85431
93000 698.997 7.20331 -4.84626
94000 697.161 7.20204 -4.84723
95000 704.228 7.20317 -4.8457
96000 701.008 7.20546 -4.84166
97000 697.239 7.20732 -4.8417
98000 700.585 7.20348 -4.84683
99000 702.943 7.20318 -4.84662
100000 702.192 7.20177 -4.85019
101000 698.785 7.20197 -4.85045
102000 704.828 7.20082 -4.84834
103000 698.901 7.20185 -4.85067
104000 700.818 7.20183 -4.84788
105000 701.333 7.20205 -4.85023
106000 701.583 7.20038 -4.85127
107000 698.376 7.20242 -4.84728
108000 704.49 7.20168 -4.84865
109000 696.768 7.20303 -4.84677
110000 700.527 7.20401 -4.84402
111000 700.936 7.20145 -4.85023
112000 701.313 7.20259 -4.84662
113000 698.783 7.202 -4.84919
114000 699.471 7.20093 -4.85011
115000 699.065 7.20121 -4.84976
116000 704.329 7.20245 -4.84851
117000 700.656 7.20178 -4.84829
118000 700.755 7.20474 -4.84541
119000 702.982 7.20177 -4.84776
120000 698.793 7.2017 -4.84912
121000 700.863 7.19964 -4.85099
122000 698.649 7.2019 -4.85148
123000 699.228 7.20088 -4.85111
124000 700.562 7.20125 -4.84867
125000 698.472 7.20158 -4.84975
126000 702.666 7.20094 -4.85032
127000 698.225 7.20445 -4.84455
128000 701.491 7.20469 -4.84296
129000 700.72 7.20602 -4.84248
130000 701.228 7.20242 -4.84781
131000 698.786 7.20079 -4.8493
132000 702.409 7.2014 -4.84744
133000 697.792 7.20193 -4.8489
134000 703.526 7.20136 -4.8495
135000 698.307 7.19835 -4.85445
136000 697.271 7.19951 -4.85422
137000 698.861 7.20108 -4.84975
138000 697.924 7.20187 -4.84865
139000 700.042 7.20388 -4.84515
140000 701.506 7.20391 -4.84571
141000 697.848 7.20539 -4.84257
142000 701.059 7.20542 -4.84131
143000 701.055 7.20353 -4.84827
144000 699.03 7.20527 -4.84385
145000 700.443 7.20826 -4.83767
146000 700.898 7.20672 -4.84074
147000 701.51 7.20626 -4.84235
148000 705.253 7.20196 -4.84613
149000 701.378 7.20238 -4.84737
150000 701.636 7.20035 -4.8497
151000 698.019 7.20003 -4.85176
152000 699.014 7.20006 -4.85121
153000 698.343 7.20067 -4.85209
154000 703.928 7.20035 -4.85102
155000 699.44 7.2029 -4.84692
156000 700.826 7.20541 -4.84532
157000 697.519 7.20567 -4.84333
158000 701.911 7.20205 -4.84855
159000 698.142 7.20158 -4.84798
160000 695.868 7.19896 -4.85562
161000 700.788 7.19938 -4.85278
162000 701.263 7.2026 -4.84602
163000 702.294 7.20274 -4.84849
164000 698.145 7.20585 -4.84139
165000 701.584 7.20562 -4.8423
166000 701.084 7.20096 -4.84919
167000 697.633 7.1988 -4.85358
168000 700.79 7.20255 -4.84663
169000 697.534 7.20391 -4.8464
170000 701.975 7.20312 -4.84411
171000 700.288 7.20854 -4.83851
172000 702.652 7.20503 -4.84248
173000 698.223 7.20396 -4.84597
174000 702.022 7.20493 -4.84264
