# Time-averaged data for fix OUT2
# TimeStep v_vT v_rho v_ent
220000 2512.75 6.53833 -4.20686
221000 2500.23 6.53616 -4.2104
222000 2504.71 6.53206 -4.22018
223000 2503.22 6.53319 -4.2142
224000 2490.54 6.53954 -4.21058
225000 2500.49 6.53111 -4.21948
226000 2505.64 6.53958 -4.21567
227000 2497.14 6.54117 -4.21349
228000 2503.44 6.54061 -4.21343
229000 2487.15 6.54196 -4.21016
230000 2501.38 6.53875 -4.22297
231000 2488.32 6.53936 -4.20795
232000 2488.61 6.54226 -4.21085
233000 2496.48 6.53885 -4.21332
234000 2495.03 6.54382 -4.21484
235000 2495.37 6.53901 -4.21608
236000 2490.03 6.54678 -4.20931
237000 2485.44 6.53882 -4.21849
238000 2483.43 6.53587 -4.2268
239000 2473.41 6.5466 -4.22036
240000 2482.66 6.55033 -4.216
241000 2483.4 6.54114 -4.22475
242000 2468.57 6.53892 -4.22526
243000 2478.95 6.54154 -4.22361
244000 2486.15 6.54686 -4.21588
245000 2475.88 6.54667 -4.2183
246000 2480.91 6.54604 -4.22237
247000 2468.29 6.54533 -4.21665
248000 2473.18 6.54798 -4.22617
249000 2470.03 6.5577 -4.21982
250000 2474.25 6.55037 -4.22339
251000 2474.83 6.53808 -4.23076
252000 2471.83 6.54552 -4.2216
253000 2470.38 6.55257 -4.21972
254000 2469.34 6.54804 -4.2271
255000 2469.42 6.55121 -4.21798
256000 2466.1 6.55309 -4.22133
257000 2465.36 6.54636 -4.23193
258000 2471.44 6.55051 -4.22659
259000 2456.08 6.54738 -4.23001
260000 2463.24 6.5448 -4.22856
261000 2443.38 6.55777 -4.22131
262000 2466.83 6.55524 -4.22535
263000 2473.43 6.55175 -4.22737
264000 2451.45 6.55199 -4.23552
265000 2455.73 6.55735 -4.22901
266000 2458.32 6.54912 -4.23798
267000 2456.4 6.55827 -4.23772
268000 2455.67 6.55096 -4.233
269000 2438.89 6.55387 -4.2322
270000 2438.01 6.55765 -4.23653
271000 2456.25 6.55475 -4.23525
272000 2459.02 6.56082 -4.22939
273000 2453.16 6.56011 -4.22889
274000 2468.4 6.55797 -4.22855
275000 2442.06 6.56026 -4.23536
276000 2443.33 6.55929 -4.23339
277000 2442.1 6.55627 -4.23985
278000 2444.81 6.55441 -4.23488
279000 2433.21 6.56162 -4.23291
280000 2440.31 6.55426 -4.23802
281000 2435.99 6.55759 -4.2378
282000 2446.23 6.56117 -4.23682
283000 2427.9 6.55719 -4.24007
284000 2443.36 6.5546 -4.2436
285000 2434.61 6.56379 -4.23944
286000 2442.27 6.55914 -4.23562
287000 2416.63 6.56132 -4.23852
288000 2427.61 6.55919 -4.23559
289000 2441.68 6.56091 -4.23798
290000 2425.32 6.56312 -4.23912
291000 2427.44 6.5656 -4.24169
292000 2426.56 6.55489 -4.25828
293000 2419.8 6.56295 -4.24552
294000 2432.44 6.56781 -4.23733
295000 2422.69 6.56861 -4.23346
296000 2430.91 6.5715 -4.23261
297000 2436 6.56492 -4.23729
298000 2429.73 6.56421 -4.2351
299000 2424.55 6.56455 -4.23734
300000 2416.6 6.56946 -4.23612
301000 2415.27 6.56396 -4.25079
302000 2418.78 6.56627 -4.24815
303000 2400.58 6.56965 -4.24535
304000 2411.92 6.56073 -4.24796
305000 2411.37 6.56917 -4.24562
306000 2402.87 6.56549 -4.25667
307000 2404.48 6.57068 -4.24585
308000 2413.98 6.56299 -4.24848
309000 2398.11 6.57592 -4.24579
310000 2415.79 6.56695 -4.24582
311000 2392.63 6.57051 -4.2514
312000 2411.62 6.57027 -4.24363
313000 2391.19 6.57402 -4.24359
314000 2413.13 6.56933 -4.24768
315000 2409.77 6.57607 -4.23734
316000 2416.89 6.57051 -4.24292
317000 2410.84 6.57189 -4.25215
318000 2403.32 6.58259 -4.23991
319000 2400.55 6.57476 -4.25286
320000 2410.76 6.57417 -4.25435
321000 2393.4 6.57258 -4.25016
322000 2406.25 6.56549 -4.25805
323000 2391.37 6.57977 -4.25342
324000 2391.25 6.57689 -4.25775
325000 2392.77 6.56637 -4.25435
326000 2398.95 6.57156 -4.26514
327000 2396.57 6.57514 -4.25504
328000 2397.72 6.58416 -4.24686
329000 2399.32 6.57819 -4.25233
330000 2386.08 6.57829 -4.25236
331000 2398.91 6.57679 -4.25457
332000 2386.99 6.58354 -4.2537
333000 2380.2 6.58214 -4.25881
334000 2379.73 6.58161 -4.25787
335000 2385.02 6.58119 -4.26148
336000 2382.48 6.58269 -4.25979
337000 2390.91 6.57326 -4.26241
338000 2379.71 6.58571 -4.25641
339000 2386.17 6.5791 -4.253
340000 2378.31 6.58231 -4.25104
341000 2387.64 6.58927 -4.25438
342000 2377.16 6.58659 -4.25722
343000 2373.64 6.5844 -4.2562
344000 2377.71 6.58798 -4.2529
345000 2363.25 6.58719 -4.25972
346000 2369.06 6.58374 -4.26017
347000 2385.84 6.58707 -4.2596
348000 2368.15 6.58924 -4.25635
349000 2371.89 6.58766 -4.25987
350000 2366.74 6.5788 -4.267
351000 2363.34 6.59327 -4.25972
352000 2357.11 6.58323 -4.2625
353000 2365.97 6.58522 -4.26674
354000 2348.08 6.58204 -4.27219
355000 2355.37 6.59294 -4.26596
356000 2370.34 6.59431 -4.25526
357000 2373.64 6.59519 -4.25537
358000 2366.55 6.5973 -4.2618
359000 2366.28 6.58854 -4.26978
360000 2373.4 6.59175 -4.26851
361000 2356.68 6.58971 -4.26558
362000 2355.26 6.59 -4.26695
363000 2364.84 6.5922 -4.26092
364000 2360.57 6.60209 -4.25564
365000 2360.57 6.59377 -4.26272
366000 2368.91 6.59231 -4.26914
367000 2363.51 6.59141 -4.27058
368000 2349.72 6.59006 -4.27136
369000 2335.65 6.59808 -4.27305
370000 2347.46 6.59421 -4.26747
371000 2358.56 6.59645 -4.26926
372000 2358.27 6.59753 -4.26601
373000 2346.15 6.59953 -4.26622
374000 2335.96 6.59589 -4.27487
375000 2344.64 6.58676 -4.2869
376000 2341.95 6.59877 -4.27123
377000 2345.64 6.59208 -4.27375
378000 2348.79 6.59629 -4.2612
379000 2341.87 6.60247 -4.26471
380000 2331.16 6.58858 -4.28516
381000 2332.28 6.60331 -4.2716
382000 2347.2 6.60129 -4.27109
383000 2348.75 6.60075 -4.27573
384000 2349.02 6.59958 -4.26607
385000 2332.95 6.59648 -4.27232
386000 2334.03 6.60947 -4.26574
387000 2340.33 6.60022 -4.26554
388000 2324.14 6.59871 -4.27955
389000 2329.88 6.59768 -4.28206
390000 2341.19 6.60011 -4.27195
391000 2334.97 6.60429 -4.27062
392000 2344.24 6.60912 -4.2657
393000 2322.37 6.60285 -4.28262
394000 2319.04 6.60296 -4.27831
395000 2321.57 6.60031 -4.28505
396000 2323.68 6.60412 -4.27861
397000 2334.82 6.60191 -4.28074
398000 2322.61 6.60005 -4.29186
399000 2319.61 6.60178 -4.28415
400000 2322.64 6.60756 -4.27947
401000 2322.39 6.60465 -4.28959
402000 2315.86 6.61366 -4.27489
403000 2323.38 6.6085 -4.28146
404000 2312.26 6.60015 -4.28764
405000 2316.12 6.60835 -4.28703
406000 2304.96 6.60781 -4.29214
407000 2316.71 6.60898 -4.2895
408000 2303.6 6.61381 -4.28541
409000 2307.14 6.61104 -4.27653
410000 2314.05 6.61629 -4.27886
411000 2325.48 6.61674 -4.27911
412000 2303.23 6.61217 -4.28853
413000 2300.16 6.61377 -4.29284
414000 2300.95 6.60394 -4.30186
415000 2298.16 6.60861 -4.29164
416000 2308.56 6.61496 -4.28414
417000 2289.08 6.61763 -4.28135
418000 2293.58 6.61363 -4.28965
419000 2305.91 6.60471 -4.29893
420000 2304.37 6.61643 -4.28981
421000 2300.5 6.61226 -4.2913
422000 2291.84 6.61737 -4.28914
423000 2300.72 6.61449 -4.29458
424000 2291.3 6.61403 -4.29512
425000 2283.44 6.61922 -4.28547
426000 2296.83 6.61749 -4.29036
427000 2291.1 6.62214 -4.27825
428000 2301.79 6.62083 -4.28296
429000 2298.26 6.62542 -4.27847
430000 2292.15 6.61749 -4.28089
431000 2283.46 6.62242 -4.29297
432000 2288.91 6.61315 -4.29135
433000 2285.22 6.62207 -4.28764
434000 2274.34 6.61737 -4.28922
435000 2295.06 6.61957 -4.29138
436000 2288.79 6.61982 -4.29667
437000 2282.45 6.62125 -4.29622
438000 2288.79 6.61849 -4.29586
439000 2274.15 6.62273 -4.2934
440000 2277.93 6.62834 -4.28882
441000 2271.74 6.62959 -4.28092
442000 2270.99 6.62413 -4.28912
443000 2276.83 6.62531 -4.29245
444000 2279.15 6.63368 -4.29101
445000 2273.47 6.62467 -4.29794
446000 2274.87 6.62301 -4.29897
447000 2278.47 6.62894 -4.2923
448000 2280.93 6.61795 -4.29229
449000 2260.6 6.62602 -4.29595
450000 2270.66 6.6302 -4.29734
451000 2273.98 6.6355 -4.29002
452000 2268.88 6.62618 -4.30577
453000 2267.32 6.62424 -4.30296
454000 2263.37 6.6278 -4.30595
455000 2264.6 6.62826 -4.29979
456000 2269.38 6.6387 -4.2912
457000 2263.52 6.63494 -4.28488
458000 2255.74 6.63722 -4.29209
459000 2273.18 6.6362 -4.28812
460000 2261.98 6.62683 -4.29863
461000 2253.57 6.63193 -4.29927
462000 2253.74 6.63131 -4.3149
463000 2249.72 6.63504 -4.30612
464000 2257.82 6.62604 -4.31195
