# Time-averaged data for fix OUT1
# TimeStep v_vT v_rho v_ent
0 300 10.1473 1.86093
1000 320.668 7.23428 -4.84852
2000 317.005 7.23337 -4.85931
3000 330.962 7.2282 -4.86463
4000 340.083 7.22721 -4.86669
5000 350.156 7.22431 -4.86903
6000 357.369 7.22403 -4.86821
7000 369.677 7.22121 -4.86875
8000 377.694 7.22051 -4.86916
9000 391.858 7.21685 -4.87029
10000 401.044 7.21632 -4.86784
11000 412.283 7.21467 -4.8667
12000 417.359 7.2139 -4.86463
13000 428.699 7.21221 -4.86451
14000 440.403 7.20824 -4.86512
15000 449.397 7.20584 -4.86577
16000 459.71 7.20373 -4.86442
17000 469.138 7.2028 -4.86225
18000 483.787 7.20198 -4.85853
19000 489.261 7.20101 -4.85509
20000 498.56 7.19912 -4.85397
21000 512.786 7.19591 -4.85522
22000 518.648 7.19275 -4.85598
23000 529.905 7.18952 -4.85153
24000 536.032 7.19021 -4.849
25000 549.927 7.19134 -4.84234
26000 559.088 7.18984 -4.84049
27000 572.969 7.18672 -4.84092
28000 580.143 7.18516 -4.83988
29000 592.428 7.18293 -4.8375
30000 600.795 7.17919 -4.83802
31000 610.746 7.17764 -4.83525
32000 619.373 7.17821 -4.8277
33000 630.962 7.17959 -4.82002
34000 641.999 7.17352 -4.82413
35000 645.25 7.17426 -4.81912
36000 663.036 7.17244 -4.81677
37000 670.035 7.16849 -4.81691
38000 678.036 7.16556 -4.81649
39000 689.397 7.16229 -4.81415
40000 704.374 7.16408 -4.80771
41000 708.699 7.16211 -4.80456
42000 722.116 7.16016 -4.80324
43000 728.542 7.15687 -4.80536
44000 740.244 7.15555 -4.8012
45000 751.061 7.15168 -4.79812
46000 754.288 7.15104 -4.79698
47000 768.208 7.14426 -4.80168
48000 779.924 7.14527 -4.79194
49000 789.832 7.13872 -4.79921
50000 796.409 7.14156 -4.78801
51000 810.332 7.13935 -4.78739
52000 817.832 7.13775 -4.78453
53000 829.36 7.13162 -4.78349
54000 839.782 7.12936 -4.78388
55000 853.887 7.12864 -4.7783
56000 862.247 7.12706 -4.7733
57000 870.902 7.12589 -4.77169
58000 881.221 7.12296 -4.76717
59000 889.84 7.11726 -4.77107
60000 903.943 7.1143 -4.76717
61000 901.085 7.11595 -4.76573
62000 921.041 7.11729 -4.75683
63000 927.676 7.10846 -4.76021
64000 942.105 7.10759 -4.75949
65000 950.956 7.10681 -4.75189
66000 960.694 7.10977 -4.74278
67000 964.872 7.10622 -4.74217
68000 979.879 7.0992 -4.74466
69000 987.481 7.09576 -4.74474
70000 1003.74 7.09782 -4.73661
71000 1011.7 7.09443 -4.73479
72000 1026.94 7.09581 -4.72537
73000 1033.36 7.08907 -4.73003
74000 1039.23 7.08819 -4.72322
75000 1051.18 7.08854 -4.72003
76000 1063.09 7.08567 -4.71507
77000 1064.64 7.08491 -4.71505
78000 1079.81 7.07891 -4.71515
79000 1084.31 7.07468 -4.71395
80000 1101.3 7.06692 -4.72042
81000 1106.07 7.06682 -4.71453
82000 1116.23 7.07013 -4.70383
83000 1136.5 7.06129 -4.7055
84000 1140.24 7.0588 -4.70704
85000 1150.69 7.0586 -4.69791
86000 1156.73 7.06117 -4.68933
87000 1169.67 7.05578 -4.69314
88000 1179.87 7.05169 -4.69228
89000 1183.16 7.04884 -4.68962
90000 1202.15 7.04514 -4.68454
91000 1208.88 7.03986 -4.68394
92000 1228.33 7.03511 -4.68508
93000 1227.65 7.03775 -4.67294
94000 1231.66 7.03983 -4.66798
95000 1242.01 7.03383 -4.66833
96000 1251.05 7.03112 -4.66458
97000 1265.78 7.02782 -4.66279
98000 1281.75 7.02571 -4.65775
99000 1289.58 7.01511 -4.66534
100000 1301.07 7.01281 -4.66061
101000 1313.6 7.01753 -4.64296
102000 1311.25 7.00871 -4.65558
103000 1328.88 7.01086 -4.64194
104000 1335.3 7.00515 -4.64296
105000 1341.7 6.99952 -4.64302
106000 1352.85 7.00049 -4.64023
107000 1375.36 6.99687 -4.63047
108000 1380.03 6.99498 -4.62317
109000 1389.32 6.99259 -4.62171
110000 1392.05 6.99164 -4.61308
111000 1406.24 6.98821 -4.61486
112000 1413.8 6.98149 -4.61433
113000 1440.16 6.97277 -4.61474
114000 1439.65 6.96946 -4.60951
115000 1452.01 6.96957 -4.59695
116000 1457.61 6.96661 -4.59675
117000 1465.97 6.96425 -4.59691
118000 1471.88 6.95382 -4.60201
119000 1489.2 6.95878 -4.58722
120000 1498.61 6.95045 -4.58429
121000 1499.15 6.9483 -4.58247
122000 1514.72 6.94218 -4.58058
123000 1526.53 6.93492 -4.57675
124000 1532.81 6.93709 -4.57043
125000 1554.36 6.92982 -4.56776
126000 1556.58 6.92196 -4.56778
127000 1565.88 6.92106 -4.56225
128000 1580.3 6.91575 -4.555
129000 1582.23 6.91394 -4.55607
130000 1601.48 6.91324 -4.54607
131000 1608.96 6.90612 -4.54189
132000 1627.92 6.89936 -4.54096
133000 1629.12 6.89537 -4.53395
134000 1644.76 6.88987 -4.54102
135000 1658.01 6.88898 -4.52372
136000 1663.15 6.88473 -4.51919
137000 1665.39 6.8841 -4.51539
138000 1671.38 6.87274 -4.51588
139000 1685.95 6.86871 -4.51033
140000 1691.2 6.86774 -4.50796
141000 1719.37 6.86699 -4.50132
142000 1715.34 6.86175 -4.49321
143000 1723.59 6.85456 -4.4941
144000 1738.12 6.84485 -4.50528
145000 1752.81 6.847 -4.48417
146000 1747.34 6.83939 -4.48628
147000 1771.44 6.84163 -4.47725
148000 1786.29 6.83307 -4.47509
149000 1791.6 6.82619 -4.47655
150000 1794.52 6.81564 -4.48065
151000 1808.57 6.82254 -4.45826
152000 1818.41 6.81166 -4.4657
153000 1834.76 6.81314 -4.45433
154000 1835.71 6.80368 -4.45635
155000 1849.9 6.80369 -4.44878
156000 1857.47 6.79659 -4.44989
157000 1867.05 6.79762 -4.44061
158000 1869.61 6.788 -4.4462
159000 1889.12 6.78959 -4.43421
160000 1898.08 6.78706 -4.43017
161000 1910.96 6.77784 -4.42483
162000 1910.91 6.77787 -4.42178
163000 1928.88 6.76907 -4.4185
164000 1940.44 6.75641 -4.42461
165000 1947.54 6.76081 -4.41732
166000 1958.57 6.75134 -4.41713
167000 1972.22 6.75066 -4.40874
168000 1983.08 6.7529 -4.3923
169000 1993.32 6.74629 -4.39415
170000 1999.6 6.74007 -4.392
171000 2008.6 6.73918 -4.38466
172000 2028.05 6.73195 -4.38456
173000 2026.09 6.73492 -4.38345
174000 2038.02 6.72292 -4.38338
175000 2053.82 6.72212 -4.37895
176000 2051.77 6.72603 -4.35574
177000 2062.1 6.71403 -4.36568
178000 2079.15 6.70719 -4.36859
179000 2081.19 6.70341 -4.36613
180000 2094.57 6.70015 -4.35942
181000 2105.9 6.6965 -4.35577
182000 2118.75 6.68578 -4.35671
183000 2145.12 6.69303 -4.33933
184000 2126.65 6.67973 -4.34602
185000 2144.14 6.679 -4.34171
